_title,year,notes,source,youtube-id,description
Band of Brothers,2001,Referenced in The Intentional Father by Jon Tyson,https://www.imdb.com/title/tt0185906/,KKRBAFlN5ww,"The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day."
Braveheart,1995,Referenced in The Intentional Father by Jon Tyson,https://www.imdb.com/title/tt0112573/,1cnoM8EiGGU,"Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England."
The Work,2017,Referenced in The Intentional Father by Jon Tyson,https://www.imdb.com/title/tt5836866/,h8OVXG2GhpQ,"Set inside a single room in Folsom Prison, three men from the outside participate in a four-day group-therapy retreat with a group of incarcerated men for a real look at the challenges of rehabilitation."
