 artist,title,year,notes,source,url
Edward Burne-Jones,Saint George and the Dragon,1868,Referenced in Future man by Douglas Wilson,https://pixels.com/featured/saint-george-and-the-dragon-edward-burne-jones.html,https://images.fineartamerica.com/images/artworkimages/mediumlarge/3/saint-george-and-the-dragon-edward-burne-jones.jpg
Émile Friant,La Lutte (Wrestling),1889,Cover photo of Future man by Douglas Wilson,https://www.wikiart.org/en/emile-friant/wrestling-1889,https://www.artrenewal.org/secureimages/artwork/178/178/10703/la_lutte-huge.jpg
Jan van Eyck,Portrait of a Man (Self Portrait?),1433,Artist often referenced in the Waning of the Middle Ages by Johan Huizinga,https://en.wikipedia.org/wiki/Portrait_of_a_Man_(Self_Portrait%3F),https://upload.wikimedia.org/wikipedia/commons/c/ca/Portrait_of_a_Man_in_a_Turban_%28Jan_van_Eyck%29_with_frame.jpg
Nikolai Yaroshenko,Life Is Everywhere,1888,Referenced in the Gulag Archipelago by Aleksandr Solzenhizin,https://www.wikiart.org/en/mykola-yaroshenko/life-is-everywhere-1888,https://uploads2.wikiart.org/images/mykola-yaroshenko/life-is-everywhere-1888.jpg
Philippe de Champaigne,Still-Life with a Skull,1646,Referenced in The Intentional Father by Jon Tyson,https://www.wikiart.org/en/philippe-de-champaigne/still-life-with-a-skull,https://uploads0.wikiart.org/00366/images/philippe-de-champaigne/image-2021-11-09-092209.png
Vasily Ivanovich Surikov,The Morning of the Streltsy Execution,1881,Referenced in the Gulag Archipelago by Aleksandr Solzenhizin,https://en.m.wikipedia.org/wiki/The_Morning_of_the_Streltsy_Execution,https://upload.wikimedia.org/wikipedia/commons/c/c7/Surikov_streltsi.jpg
